,Total concentration,Free concentration
0,0.960333333333333,0.1410637729289732
1,2.9433333333333302,0.4392236323631735
2,9.48666666666667,1.493030218912267
3,26.533333333333303,4.835592161323596
4,91.1666666666667,30.29637070126912
5,246.0,161.62104032041722
6,794.0,703.4038058672888
7,0.874666666666667,0.1283930751927258
8,2.82333333333333,0.4209124059894549
9,9.53,1.500387481080523
10,27.5,5.055295446517853
11,91.2666666666667,30.35561162605751
12,227.333333333333,143.87177246136102
13,817.0,726.3408777426081
