,Total concentration,Free concentration
0,0.960333333333333,0.3548092965465912
1,2.9433333333333302,1.0883649718277866
2,9.48666666666667,3.5175741600750143
3,26.533333333333303,9.909014946335674
4,91.1666666666667,34.97979856250572
5,246.0,100.60521251873445
6,794.0,398.3289111020441
7,0.874666666666667,0.3231468433965574
8,2.82333333333333,1.0439395485370824
9,9.53,3.533706136167666
10,27.5,10.274188682417957
11,91.2666666666667,35.01962737930114
12,227.333333333333,92.26751126706165
13,817.0,412.9876444919365
